"","time","sumi_death2","sumi_death2u","sumi_death2l","sumi_fed2","sumi_fed2l","sumi_fed2u"
"87",87,0.615841248540853,0.741276051305501,0.602027713281222,0.0464061189578808,0.0517332522154649,0.0411841623803811
"88",88,0.616275207947771,0.741393564331181,0.60228566403003,0.0469931947963236,0.0524012537775399,0.0416939957287587
"89",89,0.616699234117017,0.741501399995366,0.6025324281432,0.0475862795771186,0.0530762353196413,0.0422089178198577
"90",90,0.61711331003545,0.741599576656632,0.60276799180437,0.04818541149421,0.053758241851569,0.042728959942092
"91",91,0.617517419187051,0.741688112848755,0.602992341838814,0.0487906286163435,0.0544473182110868,0.0432541532828825
"92",92,0.617911545553335,0.741767027277629,0.603205465714725,0.0494019688803031,0.0551435090548362,0.0437845289236743
"93",93,0.618295673613741,0.741836338818249,0.60340735154446,0.0500194700840989,0.0558468588491746,0.0443201178349274
"94",94,0.618669788346003,0.741896066511749,0.603597988085761,0.0506431698801049,0.0565574118609391,0.0448609508710809
"95",95,0.619033875226496,0.74194622956251,0.603777364742939,0.0512731057681509,0.0572752121481378,0.0454070587654923
"96",96,0.619387920230568,0.741986847335323,0.603945471568029,0.0519093150885667,0.0580003035505709,0.0459584721253529
"97",97,0.619731909832841,0.742017939352616,0.60410229926192,0.0525518350151828,0.0587327296803833,0.0465152214265812
"98",98,0.620065831007503,0.74203952529174,0.604247839175441,0.0532007025482876,0.0594725339125495,0.0470773370086935
"99",99,0.62038967122857,0.742051624982322,0.60438208331043,0.0538559545075422,0.0602197593752954,0.047644849069654
"100",100,0.620703418470138,0.742054258403673,0.604505024320763,0.0545176275248559,0.0609744489404558,0.0482177876607067
"101",101,0.621007061206612,0.742047445682259,0.604616655513354,0.0551857580372215,0.0617366452137726,0.048796182681188
"102",102,0.621300588412914,0.742031207089235,0.604716970849128,0.0558603822795139,0.0625063905251342,0.0493800638733216
"103",103,0.621583989564677,0.742005563038039,0.604805964943955,0.0565415362772534,0.0632837269187588,0.0499694608169994
"104",104,0.621857254638419,0.741970534082044,0.604883633069557,0.0572292558393335,0.0640686961433235,0.0505644029245455
"105",105,0.622120374111702,0.741926140912273,0.604949971154386,0.0579235765507172,0.0648613396420427,0.0511649194354687
"106",106,0.62237333896327,0.741872404355176,0.605004975784464,0.0586245337651021,0.0656616985426962,0.0517710394112006
"107",107,0.622616140673171,0.741809345370463,0.605048644204197,0.0593321625975555,0.0664698136476118,0.0523827917298244
"108",108,0.622848771222868,0.741736985048998,0.605080974317149,0.0600464979171231,0.0672857254236028,0.0530002050807935
"109",109,0.623071223095324,0.741655344610755,0.605101964686794,0.0607675743394106,0.0681094739918638,0.0536233079596402
"110",110,0.62328348927508,0.741564445402831,0.605111614537226,0.0614954262191423,0.0689410991178285,0.0542521286626794
"111",111,0.623485563248312,0.741464308897519,0.605109923753839,0.0622300876426968,0.0697806402009893,0.0548866952817042
"112",112,0.623677439002871,0.741354956690435,0.60509689288398,0.0629715924206221,0.0706281362646845,0.0555270356986781
"113",113,0.623859111028318,0.741236410498716,0.605072523137554,0.0637199740801326,0.0714836259458542,0.0561731775804234
"114",114,0.624030574315928,0.741108692159258,0.605036816387611,0.0644752658575886,0.0723471474847675,0.0568251483733074
"115",115,0.624191824358692,0.740971823627027,0.604989775170889,0.0652375006909621,0.0732187387147243,0.0574829752979282
"116",116,0.624342857151301,0.74082582697342,0.604931402688325,0.0660067112122879,0.0740984370517357,0.0581466853438006
"117",117,0.624483669190111,0.740670724384683,0.604861702805529,0.0667829297401052,0.0749862794841835,0.0588163052640443
"118",118,0.624614257473097,0.740506538160388,0.604780680053228,0.0675661882718897,0.0758823025624635,0.0594918615700755
"119",119,0.624734619499797,0.740333290711965,0.604688339627668,0.068356518476478,0.0767865423886159,0.0601733805263026
"120",120,0.62484475327123,0.740151004561286,0.60458468739098,0.0691539516864879,0.077699034605944,0.0608608881448283
"121",121,0.624944657289816,0.739959702339311,0.604469729871519,0.0699585188907353,0.0786198143886268,0.061554410180159
"122",122,0.625034330559266,0.739759406784784,0.604343474264148,0.0707702507266497,0.0795489164313266,0.062253972123923
"123",123,0.62511377258447,0.739550140742984,0.604205928430503,0.0715891774726914,0.0804863749387956,0.0629595991995988
"124",124,0.625182983371365,0.739331927164529,0.604057100899206,0.0724153290407721,0.0814322236154852,0.0636713163572545
"125",125,0.625241963426793,0.739104789104236,0.603897000866046,0.0732487349686798,0.0823864956551604,0.0643891482683007
