"","time","acte_death2","acte_death2u","acte_death2l","acte_fed2","acte_fed2l","acte_fed2u"
"105",105,0.695303386551223,0.714264143217795,0.674785349169479,0.0421163103487342,0.0455285509261427,0.0387200933354587
"106",106,0.694446060444313,0.713609861777476,0.673715036479342,0.0427513485399512,0.0462155445101734,0.0393025762279607
"107",107,0.693573820254356,0.712941468960731,0.672629154313594,0.043394437999439,0.0469111566193908,0.0398924951877092
"108",108,0.692686704739844,0.712258990262645,0.67152775954372,0.0440456502692075,0.0476154601232081,0.0404899188097941
"109",109,0.691784753624296,0.711562451899893,0.670410910284774,0.04470505691461,0.0483285277994923,0.0410949157969284
"110",110,0.690868007600223,0.710851880814459,0.669278665898205,0.0453727295101665,0.0490504323178743,0.0417075549477455
"111",111,0.689936508333013,0.71012730467735,0.668131086994476,0.0460487396251454,0.0497812462228219,0.0423279051448673
"112",112,0.688990298464726,0.709388751892306,0.666968235435482,0.0467331588089039,0.0505210419164801,0.0429560353427412
"113",113,0.688029421617804,0.708636251599498,0.665790174336748,0.0474260585759894,0.0512698916412814,0.0435920145552489
"114",114,0.687053922398685,0.707869833679213,0.664596968069414,0.0481275103910023,0.0520278674623301,0.044235911843085
"115",115,0.686063846401311,0.707089528755524,0.663388682261985,0.0488375856532239,0.0527950412495627,0.0448877963009081
"116",116,0.685059240210538,0.706295368199936,0.662165383801861,0.0495563556810101,0.0535714846596897,0.0455477370442644
"117",117,0.684040151405432,0.705487384135009,0.660927140836622,0.0502838916959531,0.0543572691179228,0.0462158031962836
"118",118,0.683006628562456,0.704665609437961,0.659674022775067,0.0510202648068141,0.0551524657994901,0.0468920638741506
"119",119,0.68195872125853,0.703830077744228,0.658406100288016,0.0517655459932291,0.0559571456109449,0.0475765881753514
"120",120,0.680896480073976,0.702980823451003,0.657123445308842,0.0525198060891907,0.0567713791712731,0.0482694451636963
"121",121,0.679819956595325,0.702117881720726,0.655826131033757,0.0532831157663077,0.0575952367928023,0.0489707038551218
"122",122,0.678729203417996,0.701241288484542,0.654514231921819,0.0540555455168481,0.0584287884619191,0.0496804332032711
"123",123,0.67762427414884,0.70035108044571,0.65318782369468,0.054837165636565,0.0592721038195985,0.0503987020848576
"124",124,0.676505223408531,0.699447295082963,0.65184698333605,0.055628046207312,0.060125252141752,0.0511255792848103
"125",125,0.675372106833819,0.698529970653819,0.650491789090877,0.0564282570794505,0.0609883023193988,0.0518611334812058
"126",126,0.674224981079624,0.697599146197836,0.64912232046425,0.0572378678540512,0.0618613228386661,0.0526054332299871
"127",127,0.673063903820978,0.696654861539804,0.647738658220001,0.0580569478648965,0.0627443817606244,0.0533585469494726
"128",128,0.671888933754797,0.695697157292884,0.646340884379014,0.0588855661602856,0.0636375467009651,0.0541205429046569
"129",129,0.670700130601502,0.694726074861663,0.644929082217233,0.059723791484647,0.0645408848095236,0.0548914891913079
"130",130,0.669497555106447,0.693741656445163,0.643503336263361,0.0605716922599643,0.0654544627496584,0.0556714537198595
"131",131,0.668281269041195,0.692743945039752,0.642063732296253,0.0614293365670171,0.0663783466774891,0.0564605041991068
"132",132,0.667051335204595,0.691732984441996,0.640610357341988,0.0622967921264452,0.067312602221003,0.0572587081197043
"133",133,0.665807817423685,0.690708819251419,0.639143299670629,0.0631741262796379,0.0682572944590353,0.0580661327374706
"134",134,0.664550780554403,0.689671494873184,0.637662648792651,0.064061405969456,0.0692124879001316,0.0588828450565043
"135",135,0.663280290482106,0.68862105752068,0.636168495455054,0.0649586977207901,0.0701782464612987,0.0597089118121135
"136",136,0.661996414121889,0.687557554218022,0.634660931637131,0.0658660676209616,0.071154633446653,0.0605443994535625
"137",137,0.660699219418707,0.686481032802456,0.633140050545911,0.0667835812999725,0.0721417115259721,0.0613893741266411
"138",138,0.659388775347284,0.685391541926655,0.631605946611264,0.0677113039106085,0.0731395427131596,0.062243901656058
"139",139,0.65806515191182,0.684289131060923,0.630058715480659,0.0686493001084023,0.0741481883446295,0.0631080475276659
